cod;nome;período;valor
52;GO;2013;1310
13;AM;2013;451
14;RR;2013;31
15;PA;2013;1266
11;RO;2013;153
16;AP;2013;69
17;TO;2013;70
21;MA;2013;803
22;PI;2013;245
23;CE;2013;2382
24;RN;2013;750
32;ES;2014;846
24;RN;2014;883
25;PB;2014;760
27;AL;2014;1118
28;SE;2014;553
29;BA;2014;3092
31;MG;2014;2165
33;RJ;2014;2319
35;SP;2014;2091
41;PR;2014;1217
42;SC;2014;294
43;RS;2014;1129
50;MS;2014;214
51;MT;2014;475
52;GO;2014;1305
53;DF;2014;391
26;PE;2014;1560
23;CE;2014;2500
22;PI;2014;293
21;MA;2014;978
17;TO;2014;105
16;AP;2014;99
15;PA;2014;1343
14;RR;2014;22
13;AM;2014;454
12;AC;2014;61
11;RO;2014;181
14;RR;2015;31
13;AM;2015;553
12;AC;2015;67
50;MS;2015;181
43;RS;2015;1230
42;SC;2015;338
41;PR;2015;1227
35;SP;2015;1829
33;RJ;2015;2080
32;ES;2015;711
31;MG;2015;1989
29;BA;2015;3080
28;SE;2015;638
11;RO;2015;181
53;DF;2015;315
52;GO;2015;1334
27;AL;2015;929
51;MT;2015;398
26;PE;2015;1826
25;PB;2015;738
24;RN;2015;805
23;CE;2015;2175
22;PI;2015;243
21;MA;2015;980
17;TO;2015;159
16;AP;2015;96
15;PA;2015;1468
51;MT;2016;392
53;DF;2016;342
52;GO;2016;1363
50;MS;2016;177
43;RS;2016;1404
42;SC;2016;369
41;PR;2016;1305
35;SP;2016;1560
33;RJ;2016;2802
32;ES;2016;628
31;MG;2016;2081
29;BA;2016;3834
28;SE;2016;791
27;AL;2016;959
11;RO;2016;188
12;AC;2016;130
13;AM;2016;485
14;RR;2016;39
15;PA;2016;1789
16;AP;2016;155
17;TO;2016;193
21;MA;2016;885
22;PI;2016;268
23;CE;2016;1803
24;RN;2016;1002
25;PB;2016;598
26;PE;2016;2120
29;BA;2017;3968
11;RO;2017;183
12;AC;2017;240
13;AM;2017;608
14;RR;2017;45
15;PA;2017;1973
16;AP;2017;155
17;TO;2017;213
21;MA;2017;837
22;PI;2017;229
23;CE;2017;3036
24;RN;2017;1253
25;PB;2017;597
26;PE;2017;2761
27;AL;2017;995
28;SE;2017;696
31;MG;2017;1848
32;ES;2017;775
33;RJ;2017;3005
35;SP;2017;1495
41;PR;2017;1099
42;SC;2017;390
43;RS;2017;1464
50;MS;2017;184
51;MT;2017;343
52;GO;2017;1332
53;DF;2017;259
13;AM;2018;604
52;GO;2018;1236
51;MT;2018;316
50;MS;2018;153
43;RS;2018;1138
42;SC;2018;294
41;PR;2018;921
35;SP;2018;1080
33;RJ;2018;3203
32;ES;2018;554
31;MG;2018;1331
29;BA;2018;3677
12;AC;2018;191
28;SE;2018;604
27;AL;2018;729
26;PE;2018;1988
25;PB;2018;562
24;RN;2018;1009
23;CE;2018;2543
22;PI;2018;225
21;MA;2018;710
17;TO;2018;208
16;AP;2018;208
15;PA;2018;2034
14;RR;2018;126
53;DF;2018;220
11;RO;2018;139
14;RR;2019;46
29;BA;2019;3207
15;PA;2019;1409
16;AP;2019;194
17;TO;2019;162
21;MA;2019;579
22;PI;2019;190
23;CE;2019;1130
24;RN;2019;705
25;PB;2019;374
26;PE;2019;1602
27;AL;2019;510
28;SE;2019;480
53;DF;2019;183
52;GO;2019;1008
51;MT;2019;259
50;MS;2019;120
43;RS;2019;857
