cod;nome;período;valor
24;RN;2000;13
25;PB;2000;20
26;PE;2000;153
27;AL;2000;30
21;MA;2000;17
28;SE;2000;10
29;BA;2000;59
31;MG;2000;108
53;DF;2000;19
52;GO;2000;65
51;MT;2000;26
50;MS;2000;33
43;RS;2000;53
42;SC;2000;18
41;PR;2000;59
35;SP;2000;544
33;RJ;2000;220
32;ES;2000;52
17;TO;2000;5
16;AP;2000;2
15;PA;2000;30
14;RR;2000;9
13;AM;2000;21
11;RO;2000;19
42;SC;2001;25
41;PR;2001;95
35;SP;2001;538
33;RJ;2001;236
32;ES;2001;60
31;MG;2001;102
29;BA;2001;39
28;SE;2001;7
27;AL;2001;23
26;PE;2001;127
25;PB;2001;24
24;RN;2001;16
23;CE;2001;47
22;PI;2001;20
21;MA;2001;25
17;TO;2001;10
16;AP;2001;7
15;PA;2001;46
14;RR;2001;3
13;AM;2001;27
51;MT;2001;43
12;AC;2001;8
11;RO;2001;32
50;MS;2001;32
43;RS;2001;73
53;DF;2001;28
52;GO;2001;58
15;PA;2002;31
52;GO;2002;62
53;DF;2002;31
28;SE;2002;16
32;ES;2002;74
29;BA;2002;65
31;MG;2002;120
33;RJ;2002;225
35;SP;2002;533
41;PR;2002;86
42;SC;2002;32
43;RS;2002;76
50;MS;2002;30
51;MT;2002;37
27;AL;2002;30
26;PE;2002;113
25;PB;2002;22
24;RN;2002;10
23;CE;2002;60
22;PI;2002;9
21;MA;2002;13
17;TO;2002;9
16;AP;2002;5
14;RR;2002;7
13;AM;2002;17
12;AC;2002;6
11;RO;2002;17
53;DF;2003;26
51;MT;2003;38
50;MS;2003;26
43;RS;2003;61
42;SC;2003;30
41;PR;2003;102
35;SP;2003;522
33;RJ;2003;214
32;ES;2003;57
31;MG;2003;179
29;BA;2003;68
28;SE;2003;12
27;AL;2003;29
26;PE;2003;132
25;PB;2003;14
24;RN;2003;17
23;CE;2003;44
22;PI;2003;19
21;MA;2003;30
17;TO;2003;7
16;AP;2003;8
15;PA;2003;47
14;RR;2003;3
13;AM;2003;19
12;AC;2003;9
11;RO;2003;24
52;GO;2003;66
43;RS;2004;80
50;MS;2004;23
51;MT;2004;49
52;GO;2004;59
53;DF;2004;26
41;PR;2004;119
35;SP;2004;401
33;RJ;2004;205
32;ES;2004;61
31;MG;2004;185
29;BA;2004;89
28;SE;2004;14
27;AL;2004;34
26;PE;2004;142
25;PB;2004;17
24;RN;2004;9
23;CE;2004;52
22;PI;2004;17
21;MA;2004;25
17;TO;2004;8
16;AP;2004;8
15;PA;2004;43
14;RR;2004;6
13;AM;2004;19
12;AC;2004;4
11;RO;2004;15
42;SC;2004;23
43;RS;2005;77
53;DF;2005;19
52;GO;2005;54
51;MT;2005;34
50;MS;2005;30
11;RO;2005;26
12;AC;2005;7
